순번,법령명,지역명,제정·개정구분,법령종류,공포번호,공포일자,시행일자,부서
1,가평군 사회적경제 육성 및 지원 조례,가평군,제정,조례,제2928호,2021. 9. 29.,2021. 9. 29.,일자리경제과
2,강릉시 사회적경제 육성 및 지원에 관한 조례,강릉시,일부개정,조례,제1241호,2017. 12. 20.,2017. 12. 20.,일자리경제과
3,강원도교육청 사회적경제기업 제품 구매 촉진에 관한 조례,강원도교육청,제정,조례,제4359호,2019. 3. 8.,2019. 3. 8.,행정과
4,강원도교육청 사회적경제기업 활성화 협의회 구성 및 운영 규칙,강원도교육청,제정,규칙,제824호,2019. 12. 20.,2019. 12. 20.,행정과
5,강원도 사회적경제 육성 지원에 관한 조례,강원도,일부개정,조례,제4552호,2020. 5. 15.,2020. 5. 15.,
6,강원도 사회적경제 육성 지원에 관한 조례 시행규칙,강원도,일부개정,규칙,제3085호,2017. 9. 29.,2017. 9. 29.,
7,강원도 사회적 고립가구 안전망 확충 및 고독사 예방 조례,강원도,일부개정,조례,제4758호,2021. 9. 24.,2021. 9. 24.,
8,강원도 사회적농업 육성 및 지원 조례,강원도,제정,조례,제4782호,2021. 10. 29.,2021. 10. 29.,
9,강진군 사회적경제 육성 및 지원에 관한 조례,강진군,일부개정,조례,제2469호,2019. 12. 19.,2019. 12. 19.,일자리창출과
10,강진군 사회적 자본 증진 조례,강진군,제정,조례,제제2304호,2016. 7. 5.,2016. 7. 5.,총무과
11,강화군 사회적기업 육성 및 지원에 관한 조례,강화군,제정,조례,제2033호,2011. 3. 2.,2011. 3. 2.,경제교통과
12,거제시 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,거제시,제정,조례,제1750호,2020. 6. 25.,2020. 6. 25.,생활경제과
13,거제시 사회적 고립가구 고독사 예방 및 지원 조례,거제시,제정,조례,제1733호,2020. 2. 13.,2020. 2. 13.,생활지원과
14,거제시 사회적공동체 육성 지원 조례,거제시,제정,조례,제1597호,2018. 5. 10.,2018. 5. 10.,생활경제과
15,거창군 사회적경제 활성화 및 지원에 관한 조례,거창군,제정,조례,제2608호,2020. 11. 25.,2020. 11. 25.,경제교통과
16,경기도 고독사 예방 및 사회적 고립가구 지원 조례,경기도,제정,조례,제6754호,2020. 10. 8.,2020. 10. 8.,
17,경기도 공공기관 및 중소기업의 CSR(기업의 사회적 책임) 활성화 지원 조례,경기도,제정,조례,제5260호,2016. 6. 7.,2016. 6. 7.,
18,경기도 공공조달의 사회적가치 증대를 위한 조례,경기도,일부개정,조례,제6828호,2020. 12. 31.,2020. 12. 31.,
