순번,법령명,지역명,제정·개정구분,법령종류,공포번호,공포일자,시행일자,부서
1,가평군 사회적경제 육성 및 지원 조례,가평군,제정,조례,제2928호,2021. 9. 29.,2021. 9. 29.,일자리경제과
2,강릉시 사회적경제 육성 및 지원에 관한 조례,강릉시,일부개정,조례,제1241호,2017. 12. 20.,2017. 12. 20.,일자리경제과
3,강원도교육청 사회적경제기업 제품 구매 촉진에 관한 조례,강원도교육청,제정,조례,제4359호,2019. 3. 8.,2019. 3. 8.,행정과
4,강원도교육청 사회적경제기업 활성화 협의회 구성 및 운영 규칙,강원도교육청,제정,규칙,제824호,2019. 12. 20.,2019. 12. 20.,행정과
5,강원도 사회적경제 육성 지원에 관한 조례,강원도,일부개정,조례,제4552호,2020. 5. 15.,2020. 5. 15.,
6,강원도 사회적경제 육성 지원에 관한 조례 시행규칙,강원도,일부개정,규칙,제3085호,2017. 9. 29.,2017. 9. 29.,
7,강진군 사회적경제 육성 및 지원에 관한 조례,강진군,일부개정,조례,제2469호,2019. 12. 19.,2019. 12. 19.,일자리창출과
8,거제시 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,거제시,제정,조례,제1750호,2020. 6. 25.,2020. 6. 25.,생활경제과
9,거창군 사회적경제 활성화 및 지원에 관한 조례,거창군,제정,조례,제2608호,2020. 11. 25.,2020. 11. 25.,경제교통과
10,경기도교육청 사회적경제 교육 활성화 조례,경기도교육청,제정,조례,제7163호,2021. 10. 6.,2021. 10. 6.,학부모시민협력과
11,경기도 사회적경제기금 설치 및 운영 조례,경기도,일부개정,조례,제6838호,2020. 12. 31.,2020. 12. 31.,사회적경제과
12,경기도 사회적경제 육성 지원에 관한 조례,경기도,일부개정,조례,제6370호,2019. 11. 12.,2019. 11. 12.,
13,경기도 사회적경제 육성 지원에 관한 조례 시행규칙,경기도,일부개정,규칙,제3927호,2020. 8. 10.,2020. 8. 10.,사회적경제과
14,경산시 사회적경제 육성 및 지원에 관한 조례,경산시,일부개정,조례,제1173호,2019. 12. 12.,2019. 12. 12.,일자리경제과
15,경상남도교육청 사회적경제기업 제품 구매촉진에 관한 조례,경상남도교육청,제정,조례,제4793호,2020. 6. 4.,2020. 6. 4.,재정과
16,경상남도 사회적경제기금 설치 및 운용 조례,경상남도,제정,조례,제4819호,2020. 6. 25.,2020. 6. 25.,사회적경제추진단
17,경상남도 사회적경제기업 제품 구매촉진 및 판로개척 지원에 관한 조례,경상남도,제정,조례,제4731호,2020. 2. 6.,2020. 2. 6.,사회적경제추진단
